,CUSTOMER_NUMBER,CUSTOMER_LOCATION,CUSTOMER_DEPARTMENT,CUSTOMER_PROVINCE
2019,2073,64,70,TEXAS
2020,2620,2,70,ARIZONA
2021,804,2,70,TEXAS
2022,2020,50,70,TEXAS
2023,2486,66,10,TEXAS
2024,2061,12,73,TEXAS
2025,1307,6,81,TEXAS
2026,1691,2,70,ARIZONA
2027,1691,2,70,ARIZONA
2028,2674,21,60,CALIFORNIA
2029,387,13,64,ARIZONA
2030,16221,1,0,MICHIGAN
2031,2144,48,62,CALIFORNIA
2032,387,2,62,ARIZONA
2033,652,1,60,MICHIGAN
2034,2786,14,62,MICHIGAN
2035,7331,891,9,GEORGIA
2036,387,17,62,ARIZONA
2037,1819,1,60,TEXAS
2038,2309,1,0,  
2039,2182,2,66,TEXAS
2040,2645,10,66,ARIZONA
2041,387,3,66,ARIZONA
2042,2438,11,66,TEXAS
2043,1428,1,64,CALIFORNIA
2044,2486,62,64,TEXAS
2045,1307,2,64,TEXAS
2046,2182,2,64,TEXAS
2047,2149,6,64,TEXAS
2048,2312,12,64,ARIZONA
2049,1974,1,64,CALIFORNIA
2050,2144,72,64,CALIFORNIA
2051,185,42,64,CALIFORNIA
2052,2144,31,66,CALIFORNIA
2053,2620,21,64,ARIZONA
2054,646,2,64,MICHIGAN
2055,15454,1,0,NEW JERSEY
2056,2300,1,70,CALIFORNIA
2057,2438,7,70,TEXAS
2058,2182,3,20,TEXAS
2059,2020,57,70,TEXAS
2060,2312,12,62,ARIZONA
2061,2806,1,64,CALIFORNIA
2062,1360,1,64,ARIZONA
2063,2438,6,64,TEXAS
2064,387,11,30,ARIZONA
2065,1775,7,62,CALIFORNIA
2066,2020,29,70,TEXAS
2067,1709,53,18,TEXAS
2068,2749,4,12,TEXAS
2069,154,1,0,  
2070,2144,73,62,CALIFORNIA
2071,16473,1,0,FLORIDA
2072,2312,1,64,ARIZONA
2073,387,7,66,ARIZONA
2074,387,6,62,ARIZONA
2075,3592,1,0,ARIZONA
2076,567,1,0,CALIFORNIA
2077,1194,1,0,OHIO
2078,5622,4,0,TEXAS
2079,387,7,30,ARIZONA
2080,2073,4,62,TEXAS
2081,2020,4,30,TEXAS
2082,2020,4,30,TEXAS
2083,387,2,30,ARIZONA
2084,387,24,30,ARIZONA
2085,2073,4,64,TEXAS
2086,2620,21,64,ARIZONA
2087,2059,33,61,CALIFORNIA
2088,2438,11,61,TEXAS
2089,64,1,61,CALIFORNIA
2090,2813,3,73,TEXAS
2091,1691,8,61,ARIZONA
2092,2142,6,66,ARIZONA
2093,1709,11,62,TEXAS
2094,2674,21,64,CALIFORNIA
2095,102,1,73,ARIZONA
2096,389,1,60,ARIZONA
2097,16351,1,0,NEW JERSEY
2098,168,4,62,ARIZONA
2099,2144,71,62,CALIFORNIA
2100,1819,6,62,TEXAS
2101,1807,2,9,CALIFORNIA
2102,2791,1,0,ARIZONA
2103,2438,5,62,TEXAS
2104,185,1,9,CALIFORNIA
2105,2020,3,60,TEXAS
2106,1307,2,60,TEXAS
2107,2238,1,0,TEXAS
2108,2312,1,60,ARIZONA
2109,2020,4,62,TEXAS
2110,64,1,62,CALIFORNIA
2111,1869,1,62,CALIFORNIA
2112,2872,6,62,TEXAS
2113,646,2,62,MICHIGAN
2114,2645,10,62,ARIZONA
2115,2144,33,62,CALIFORNIA
2116,2312,1,60,ARIZONA
2117,2841,2,62,TEXAS
2118,1775,23,9,CALIFORNIA
2119,2020,67,60,TEXAS
2120,2142,1,62,ARIZONA
2121,2312,12,62,ARIZONA
2122,168,4,62,ARIZONA
2123,168,1,62,ARIZONA
2124,2620,22,61,ARIZONA
2125,2002,1,61,FLORIDA
2126,2142,1,61,ARIZONA
2127,2061,1,61,TEXAS
2128,227,1,9,TEXAS
2129,1954,1,62,MICHIGAN
2130,2073,21,9,TEXAS
2131,1974,5,9,CALIFORNIA
2132,2020,4,62,TEXAS
2133,947,1,9,CALIFORNIA
2134,2806,1,62,CALIFORNIA
2135,2002,1,60,FLORIDA
2136,3911,2,61,MICHIGAN
2137,1775,41,63,CALIFORNIA
2138,16337,1,0,ARIZONA
2139,1807,2,9,CALIFORNIA
2140,168,4,70,ARIZONA
2141,2061,7,62,TEXAS
2142,3985,1,0,ARIZONA
2143,2813,1,60,TEXAS
2144,1934,4,70,ARIZONA
2145,5925,1,0,FLORIDA
2146,2674,21,60,CALIFORNIA
2147,2871,1,62,ARIZONA
2148,220,2,81,TEXAS
2150,2872,6,62,TEXAS
2151,1775,7,62,CALIFORNIA
2153,2620,20,62,ARIZONA
2154,1954,1,62,MICHIGAN
2155,2214,3,62,ARIZONA
2156,804,82,67,TEXAS
2157,2438,33,61,TEXAS
2158,1974,1,61,CALIFORNIA
2159,2194,1,0,ARIZONA
2160,804,4,61,TEXAS
2161,387,10,61,ARIZONA
2162,16281,1,0,ARIZONA
2163,4091,1,0,ARIZONA
2164,341,1,0,NEW JERSEY
2165,567,1,0,CALIFORNIA
2166,341,1,0,NEW JERSEY
2167,1488,1,0,ARIZONA
2168,5625,1,0,TEXAS
2169,10699,1,0,ARIZONA
2170,2701,2,10,ARIZONA
2171,16139,1,0,ARIZONA
2172,1819,9,67,TEXAS
2173,2209,1,73,TEXAS
2174,387,14,66,ARIZONA
2175,387,23,66,ARIZONA
2176,2950,2,66,TEXAS
2177,2438,12,66,TEXAS
2178,387,17,30,ARIZONA
2179,16081,1,0,ARIZONA
2180,567,1,0,CALIFORNIA
2181,10368,1,0,TEXAS
2182,110,7,60,TEXAS
2183,646,3,70,MICHIGAN
2184,75518,1,0,TEXAS
2185,387,16,64,ARIZONA
2186,185,42,9,CALIFORNIA
2187,2791,1,0,ARIZONA
2188,2312,12,62,ARIZONA
2189,1691,1,62,ARIZONA
2190,2020,4,62,TEXAS
2191,387,11,62,ARIZONA
2192,387,24,62,ARIZONA
2193,15675,1,0,TEXAS
2194,5536,1,0,TEXAS
2195,2205,1,0,TEXAS
2196,5747,1,0,TEXAS
2197,10609,1,0,ARIZONA
2198,1788,1,0,NEW JERSEY
2199,10952,1,0,MICHIGAN
2200,1709,35,23,TEXAS
2201,2871,3,70,ARIZONA
2202,643,6,24,CALIFORNIA
2203,2014,19,70,TEXAS
2204,2061,12,73,TEXAS
2205,2142,8,10,ARIZONA
2206,2754,5,70,CALIFORNIA
2207,389,1,64,ARIZONA
2208,2312,1,64,ARIZONA
2209,2312,3,64,ARIZONA
2210,655,10,62,TEXAS
2211,2312,3,62,ARIZONA
2212,15202,1,0,TEXAS
2213,1360,1,62,ARIZONA
2214,2666,1,62,CALIFORNIA
2215,274,1,9,TEXAS
2216,2754,2,62,CALIFORNIA
2217,387,24,62,ARIZONA
2218,7331,481,9,GEORGIA
2219,4091,1,0,ARIZONA
2220,10620,1,0,ARIZONA
2221,11032,1,0,ARIZONA
2222,10625,1,0,TEXAS
2223,567,1,0,CALIFORNIA
2224,567,1,0,CALIFORNIA
2225,6625,1,0,TEXAS
2226,563,1,0,ARIZONA
2227,16087,1,0,ARIZONA
2228,1159,1,0,ARIZONA
2229,16282,1,0,ARIZONA
2230,5803,1,0,TEXAS
2231,4099,1,0,ARIZONA
2232,6275,1,0,TEXAS
2233,10878,1,0,TEXAS
2234,10945,1,0,ARIZONA
2235,91,1,0,CALIFORNIA
2236,1073,1,0,ARIZONA
2237,15735,1,0,TEXAS
2238,10952,1,0,MICHIGAN
2239,5569,1,0,TEXAS
2240,10672,22,0,CALIFORNIA
2241,6997,1,0,TEXAS
2242,4115,1,0,ARIZONA
2243,4107,1,0,ARIZONA
2244,16282,1,0,ARIZONA
2245,10622,1,0,ARIZONA
2246,230,1,0,CALIFORNIA
2247,10688,1,0,TEXAS
2248,205,1,0,CALIFORNIA
2249,4104,1,0,ARIZONA
2250,1078,1,0,CALIFORNIA
2251,382,1,0,TEXAS
2252,7379,1,0,TEXAS
2253,7379,1,0,TEXAS
2254,16383,1,0,CALIFORNIA
2255,2037,11,10,ARIZONA
2256,1709,44,70,TEXAS
2257,168,2,70,ARIZONA
2258,6992,1,0,TEXAS
2259,2474,1,0,ARIZONA
2260,6743,1,0,TEXAS
2261,1283,1,0,ARIZONA
2262,410,10,9,TEXAS
2263,2142,28,67,ARIZONA
2264,2037,2,80,ARIZONA
2265,387,13,62,ARIZONA
2266,387,16,62,ARIZONA
2267,2309,1,0,ARIZONA
2268,6480,1,0,TEXAS
2269,2312,15,60,ARIZONA
2270,2277,92,83,CALIFORNIA
2271,387,21,62,ARIZONA
2272,279,1,0,ARIZONA
2273,2620,21,62,ARIZONA
2274,2645,10,62,ARIZONA
2275,2438,5,30,TEXAS
2276,2067,1,0,NEW JERSEY
2277,387,4,62,ARIZONA
2278,1891,2,62,TEXAS
2279,2620,18,62,ARIZONA
2280,1560,1,62,MICHIGAN
2281,2438,6,62,TEXAS
2282,387,5,62,ARIZONA
2283,2438,12,62,TEXAS
2284,16188,1,0,ARIZONA
2285,2020,4,60,TEXAS
2286,1496,9,62,ARIZONA
2287,2142,70,62,ARIZONA
2288,387,13,62,ARIZONA
2289,16473,1,0,FLORIDA
2290,985,1,62,ARIZONA
2291,1691,11,62,ARIZONA
2292,2872,6,62,TEXAS
2293,15202,1,0,TEXAS
2294,2142,70,62,ARIZONA
2295,2312,3,62,ARIZONA
2296,1954,1,62,MICHIGAN
2297,387,19,62,ARIZONA
2298,1307,2,60,TEXAS
2299,2002,1,60,FLORIDA
2300,185,42,9,CALIFORNIA
2301,1560,1,62,MICHIGAN
2302,2142,4,62,ARIZONA
2303,985,1,62,ARIZONA
2304,2142,3,24,ARIZONA
2305,185,1,62,CALIFORNIA
2306,2620,18,62,ARIZONA
2307,1307,2,60,TEXAS
2308,2486,1,62,TEXAS
2309,652,5,60,MICHIGAN
2310,7331,151,9,GEORGIA
2311,2312,12,62,ARIZONA
2312,2791,1,0,ARIZONA
2313,387,21,62,ARIZONA
2314,1691,1,62,ARIZONA
2315,2438,12,62,TEXAS
2316,2149,6,62,TEXAS
2317,804,78,67,TEXAS
2318,2486,1,62,TEXAS
2319,387,17,62,ARIZONA
2320,2645,10,62,ARIZONA
2321,2979,1,9,TEXAS
2322,1496,7,70,TEXAS
2323,387,13,62,ARIZONA
2324,2871,5,60,ARIZONA
2325,1954,1,62,MICHIGAN
2326,1693,11,60,TEXAS
2327,1307,2,60,TEXAS
2328,2238,1,0,TEXAS
2329,437,1,60,CALIFORNIA
2330,2486,4,62,TEXAS
2331,15749,1,0,TEXAS
2332,1412,10,9,TEXAS
2333,1895,1,62,CALIFORNIA
2334,83,1,0,ARIZONA
2335,1775,9,83,CALIFORNIA
2336,1307,2,60,TEXAS
2337,2144,48,62,CALIFORNIA
2338,4959,5,65,CALIFORNIA
2339,1895,1,61,CALIFORNIA
2340,2786,14,64,MICHIGAN
2341,2620,20,64,ARIZONA
2342,10613,1,0,ARIZONA
2343,1891,2,64,TEXAS
2344,2059,6,64,CALIFORNIA
2345,2438,33,64,TEXAS
2346,2061,15,73,TEXAS
2347,2312,15,64,ARIZONA
2348,387,9,64,ARIZONA
2349,185,1,61,CALIFORNIA
2350,452,1,65,TEXAS
2351,2486,1,66,TEXAS
2352,2438,6,61,TEXAS
2353,2142,15,62,ARIZONA
2354,387,9,62,ARIZONA
2355,509,1,0,TEXAS
2356,67,1,0,MICHIGAN
2357,420,1,0,ARIZONA
2358,1972,5,70,TEXAS
2359,943,1,81,TEXAS
2360,452,1,70,TEXAS
2361,387,15,62,ARIZONA
2362,1891,13,70,TEXAS
2363,2872,6,62,TEXAS
2364,2312,12,61,ARIZONA
2365,387,26,61,ARIZONA
2366,2666,1,62,CALIFORNIA
2367,2830,19,70,OHIO
2368,1560,1,62,MICHIGAN
2369,10878,1,0,TEXAS
2370,1348,1,0,TEXAS
2371,2950,2,9,TEXAS
2372,75435,1,0,FLORIDA
2373,75379,672,0,ARIZONA
2374,387,1,62,ARIZONA
2375,5561,1,0,TEXAS
2376,347,1,0,CALIFORNIA
2377,10271,1,0,  
2378,10869,1,0,ARIZONA
2379,10810,1,0,ARIZONA
2380,627,1,0,  
2381,4106,1,0,ARIZONA
2382,387,15,62,ARIZONA
2383,387,13,62,ARIZONA
2384,3912,1,60,MICHIGAN
2385,387,23,62,ARIZONA
2386,387,16,62,ARIZONA
2387,2061,4,70,TEXAS
2388,2182,37,70,TEXAS
2389,771,1,70,CALIFORNIA
2390,2486,51,20,TEXAS
2391,2020,50,70,TEXAS
2392,346,2,81,TEXAS
2393,2073,3,20,TEXAS
2394,110,3,20,TEXAS
2395,5294,1,0,TEXAS
2396,2830,19,70,OHIO
2397,2073,22,70,TEXAS
2398,2230,4,70,TEXAS
2399,2061,12,73,TEXAS
2400,2014,32,10,TEXAS
2401,387,13,62,ARIZONA
2402,2312,15,60,ARIZONA
2403,1979,2,62,ARIZONA
2404,1972,1,60,TEXAS
2405,2486,4,62,TEXAS
2406,387,6,62,ARIZONA
2407,110,1,60,TEXAS
2408,2144,33,62,CALIFORNIA
2409,387,19,62,ARIZONA
2410,387,23,62,ARIZONA
2411,16473,1,0,FLORIDA
2412,2312,1,60,ARIZONA
2413,387,4,62,ARIZONA
2414,2786,14,64,MICHIGAN
2415,387,9,64,ARIZONA
2416,883,1,64,TEXAS
2417,389,1,66,ARIZONA
2418,468,1,0,CALIFORNIA
2419,11011,4,0,ARIZONA
2420,16188,1,0,ARIZONA
2421,2806,1,62,CALIFORNIA
2422,1560,1,62,MICHIGAN
2423,2620,20,61,ARIZONA
2424,2620,20,61,ARIZONA
2425,387,14,62,ARIZONA
2426,387,21,62,ARIZONA
2427,4959,5,62,CALIFORNIA
2428,2142,5,62,ARIZONA
2429,387,8,62,ARIZONA
2430,387,4,62,ARIZONA
2431,7167,1,0,NEW JERSEY
2432,11002,1,0,TEXAS
2433,2438,15,62,TEXAS
2434,2486,1,62,TEXAS
2435,1691,11,62,ARIZONA
2436,2194,1,0,ARIZONA
2437,3911,2,60,MICHIGAN
2438,1775,1,60,CALIFORNIA
2439,10795,1,0,TEXAS
2440,1891,1,20,TEXAS
2441,1375,6,20,ARIZONA
2442,1811,1,62,TEXAS
2443,1934,1,62,ARIZONA
2444,387,13,62,ARIZONA
2445,4959,1,62,CALIFORNIA
2446,387,2,62,ARIZONA
2447,2645,10,62,ARIZONA
2448,10427,1,0,MICHIGAN
2449,16359,1,0,MICHIGAN
2450,322,7,62,TEXAS
2451,387,23,62,ARIZONA
2452,2438,6,62,TEXAS
2453,1979,1,62,ARIZONA
2454,2142,6,62,ARIZONA
2455,387,8,62,ARIZONA
2456,1145,3,62,TEXAS
2457,497,1,60,TEXAS
2458,2073,4,62,TEXAS
2459,387,1,62,ARIZONA
2460,64,1,62,CALIFORNIA
2461,2142,70,62,ARIZONA
2462,2486,7,62,TEXAS
2463,387,8,62,ARIZONA
2464,387,16,62,ARIZONA
2465,2806,1,62,CALIFORNIA
2466,387,10,62,ARIZONA
2467,2002,1,60,FLORIDA
2468,2073,21,9,TEXAS
2469,652,1,60,MICHIGAN
2470,387,5,62,ARIZONA
2471,1869,1,62,CALIFORNIA
2472,1891,2,62,TEXAS
2473,2144,33,62,CALIFORNIA
2474,2020,4,60,TEXAS
2475,643,1,62,CALIFORNIA
2476,7167,1,0,NEW JERSEY
2477,387,26,62,ARIZONA
2478,804,1,60,TEXAS
2479,2149,6,62,TEXAS
2480,2142,70,62,ARIZONA
2481,2144,48,62,CALIFORNIA
2482,185,42,9,CALIFORNIA
2483,185,42,9,CALIFORNIA
2484,2312,15,60,ARIZONA
2485,387,1,62,ARIZONA
2486,1819,1,60,TEXAS
2487,387,14,62,ARIZONA
2488,1693,1,60,TEXAS
2489,2149,6,62,TEXAS
2490,185,42,9,CALIFORNIA
2491,7331,161,19,FLORIDA
2492,387,14,62,ARIZONA
2493,2620,18,62,ARIZONA
2494,271,1,60,CALIFORNIA
2495,2142,6,62,ARIZONA
2496,1891,2,62,TEXAS
2497,208,14,62,TEXAS
2498,7331,3,60,FLORIDA
2499,1811,1,62,TEXAS
2500,2438,12,62,TEXAS
2501,387,20,62,ARIZONA
2502,2013,1,62,ARIZONA
2503,341,1,0,NEW JERSEY
2504,2142,6,62,ARIZONA
2505,2486,6,62,TEXAS
2506,437,1,60,CALIFORNIA
2507,1811,1,62,TEXAS
2508,2014,12,60,TEXAS
2509,387,14,62,ARIZONA
2510,2674,21,60,CALIFORNIA
2511,1691,12,62,ARIZONA
2512,387,21,62,ARIZONA
2513,2020,4,60,TEXAS
2514,985,14,62,ARIZONA
2515,387,2,62,ARIZONA
2516,387,21,62,ARIZONA
2517,652,5,60,MICHIGAN
2518,2438,15,62,TEXAS
2519,12001,1,0,ARIZONA
2520,387,8,62,ARIZONA
2521,646,2,62,MICHIGAN
2522,2142,70,62,ARIZONA
2523,2645,10,62,ARIZONA
2524,2438,11,62,TEXAS
2525,387,1,62,ARIZONA
2526,1175,1,9,ARIZONA
2527,2013,1,62,ARIZONA
2528,16139,1,0,ARIZONA
2529,2312,1,60,ARIZONA
2530,389,7,83,ARIZONA
2531,2142,2,24,ARIZONA
2532,75454,1,0,ARIZONA
2533,468,1,0,CALIFORNIA
2534,10615,1,0,CALIFORNIA
2535,5625,1,0,TEXAS
2536,6764,1,0,TEXAS
2537,10622,1,0,ARIZONA
2538,151,1,0,CALIFORNIA
2539,7397,1,0,TEXAS
2540,6423,1,0,TEXAS
2541,1994,1,0,ARIZONA
2542,2472,1,0,FLORIDA
2543,4094,1,0,ARIZONA
2544,15093,1,0,CALIFORNIA
2545,4091,1,0,ARIZONA
2546,10795,1,0,TEXAS
2547,4107,1,0,ARIZONA
2548,16281,1,0,ARIZONA
2549,10769,1,0,  
2550,10625,1,0,TEXAS
2551,15759,2,0,CALIFORNIA
2552,6759,1,0,TEXAS
2553,6613,1,0,TEXAS
2554,10618,1,0,ARIZONA
2555,347,1,0,CALIFORNIA
2556,5625,1,0,TEXAS
2557,6716,1,0,TEXAS
2558,10622,1,0,ARIZONA
2559,4099,1,0,ARIZONA
2560,16359,1,0,MICHIGAN
2561,6645,1,0,TEXAS
2562,694,1,0,ARIZONA
2563,16473,1,0,FLORIDA
2564,1078,1,0,CALIFORNIA
2565,10718,1,0,ARIZONA
2566,16081,1,0,ARIZONA
2567,768,1,0,CALIFORNIA
2568,10724,1,0,NEW JERSEY
2569,1662,1,0,ARIZONA
2570,10616,1,0,CALIFORNIA
2571,734,1,0,CALIFORNIA
2572,6625,1,0,TEXAS
2573,4106,1,0,ARIZONA
2574,10986,1,0,TEXAS
2575,6613,1,0,TEXAS
2576,10517,1,0,GEORGIA
2577,10878,1,0,TEXAS
2578,10670,1,0,CALIFORNIA
2579,10619,1,0,ARIZONA
2580,4098,1,0,ARIZONA
2581,6423,1,0,TEXAS
2582,10866,1,0,ARIZONA
2583,7331,541,9,GEORGIA
2584,1107,1,0,CALIFORNIA
2585,2438,6,62,TEXAS
2586,1819,1,60,TEXAS
2587,655,41,60,TEXAS
2588,2020,3,60,TEXAS
2589,2789,1,62,ARIZONA
2590,2142,6,62,ARIZONA
2591,387,26,62,ARIZONA
2592,11002,1,0,TEXAS
2593,2972,21,62,TEXAS
2594,7331,521,26,GEORGIA
2595,185,42,9,CALIFORNIA
2596,2214,3,62,ARIZONA
2597,10620,1,0,ARIZONA
2598,10200,1,0,TEXAS
2599,16016,1,0,  
2600,1496,9,62,ARIZONA
2601,168,1,62,ARIZONA
2602,15190,1,0,ARIZONA
2603,3910,1,60,MICHIGAN
2604,985,20,64,ARIZONA
2605,2486,7,64,TEXAS
2606,1869,1,64,CALIFORNIA
2607,16473,1,0,FLORIDA
2608,10989,1,0,ARIZONA
2609,2142,4,62,ARIZONA
2610,2438,12,62,TEXAS
2611,271,1,60,CALIFORNIA
2612,10249,1,0,CALIFORNIA
2613,1560,1,62,MICHIGAN
2614,2438,12,62,TEXAS
2615,2438,12,64,TEXAS
2616,387,3,62,ARIZONA
2617,2872,6,62,TEXAS
2618,7331,561,9,GEORGIA
2619,2972,21,64,TEXAS
2620,2144,72,62,CALIFORNIA
2621,2872,6,64,TEXAS
2622,2620,20,62,ARIZONA
2623,387,7,62,ARIZONA
2624,643,1,62,CALIFORNIA
2625,11041,1,0,TEXAS
2626,1819,1,60,TEXAS
2627,271,1,60,CALIFORNIA
2628,2806,1,62,CALIFORNIA
2629,883,1,60,TEXAS
2630,387,9,64,ARIZONA
2631,1979,2,62,ARIZONA
2632,2073,81,62,TEXAS
2633,1175,1,9,ARIZONA
2634,2872,6,62,TEXAS
2635,10249,1,0,CALIFORNIA
2636,1473,1,0,FLORIDA
2637,1984,1,0,ARIZONA
2638,16143,1,0,ARIZONA
2639,2806,1,62,CALIFORNIA
2640,1775,23,9,CALIFORNIA
2641,1807,2,9,CALIFORNIA
2642,1974,5,9,CALIFORNIA
2643,387,20,62,ARIZONA
2644,2438,9,23,TEXAS
2645,2871,3,15,ARIZONA
2646,16473,1,0,FLORIDA
2647,10714,1,0,ARIZONA
2648,1382,1,81,TEXAS
2649,15838,1,0,CALIFORNIA
2650,5680,1,0,TEXAS
2651,84,1,0,MICHIGAN
2652,1229,1,0,ARIZONA
2653,4106,1,0,ARIZONA
2654,4084,1,0,ARIZONA
2655,643,1,61,CALIFORNIA
2656,168,4,64,ARIZONA
2657,387,23,64,ARIZONA
2658,47,1,9,TEXAS
2659,15093,1,0,CALIFORNIA
2660,2872,50,70,TEXAS
2661,2144,31,66,CALIFORNIA
2662,387,13,66,ARIZONA
2663,387,20,66,ARIZONA
2664,1307,2,66,TEXAS
2665,2142,70,66,ARIZONA
2666,2972,25,95,TEXAS
2667,2914,47,61,CALIFORNIA
2668,1473,1,0,FLORIDA
2669,2438,15,61,TEXAS
2670,11041,1,0,TEXAS
2671,2645,10,61,ARIZONA
2672,15093,1,0,CALIFORNIA
2673,387,6,61,ARIZONA
2674,2300,6,20,CALIFORNIA
2675,2020,7,20,TEXAS
2676,2666,4,20,CALIFORNIA
2677,389,12,20,ARIZONA
2678,2020,29,10,TEXAS
2679,2013,2,70,ARIZONA
2680,1979,2,62,ARIZONA
2681,2438,62,60,TEXAS
2682,2142,6,62,ARIZONA
2683,1934,4,62,ARIZONA
2684,2914,1,62,CALIFORNIA
2685,387,13,62,ARIZONA
2686,387,1,62,ARIZONA
2687,387,11,62,ARIZONA
2688,2144,72,62,CALIFORNIA
2689,387,22,30,ARIZONA
2690,387,14,30,ARIZONA
2691,2015,1,9,TEXAS
2692,387,1,30,ARIZONA
2693,2620,20,32,ARIZONA
2694,387,11,30,ARIZONA
2695,1954,1,62,MICHIGAN
2696,2972,21,62,TEXAS
2697,2620,22,62,ARIZONA
2698,1819,1,60,TEXAS
2699,387,26,62,ARIZONA
2700,6659,1,0,  
2701,10622,1,0,ARIZONA
2702,10616,1,0,CALIFORNIA
2703,10632,1,0,ARIZONA
2704,397,1,0,TEXAS
2705,4102,1,0,ARIZONA
2706,1473,1,0,FLORIDA
2707,5622,21,0,TEXAS
2708,4102,1,0,ARIZONA
2709,3592,1,0,ARIZONA
2710,7379,1,0,TEXAS
2711,891,1,0,ARIZONA
2712,11005,1,0,ARIZONA
2713,16487,1,0,TEXAS
2714,468,1,0,CALIFORNIA
2715,410,5,67,TEXAS
2716,387,3,62,ARIZONA
2717,2142,7,60,ARIZONA
2718,1891,2,62,TEXAS
2719,2701,1,62,ARIZONA
2720,2645,10,62,ARIZONA
2721,2806,1,62,CALIFORNIA
2722,1979,1,75,ARIZONA
2723,985,20,70,ARIZONA
2724,2300,9,9,CALIFORNIA
2725,2142,3,24,ARIZONA
2726,1375,1,70,ARIZONA
2727,1693,11,70,TEXAS
2728,75157,1,0,ARIZONA
2729,387,23,62,ARIZONA
2730,208,14,62,TEXAS
2731,1360,1,62,ARIZONA
2732,387,5,62,ARIZONA
2733,2182,8,62,TEXAS
2734,2806,1,62,CALIFORNIA
2735,387,2,62,ARIZONA
2736,2620,18,62,ARIZONA
2737,1693,1,60,TEXAS
2738,387,5,62,ARIZONA
2739,1360,1,62,ARIZONA
2740,168,1,62,ARIZONA
2741,2144,73,62,CALIFORNIA
2742,387,3,62,ARIZONA
2743,2144,72,62,CALIFORNIA
2744,985,1,62,ARIZONA
2745,387,20,62,ARIZONA
2746,2144,33,62,CALIFORNIA
2747,208,1,62,TEXAS
2748,1775,7,62,CALIFORNIA
2749,2759,1,9,CALIFORNIA
2750,947,1,9,CALIFORNIA
2751,387,15,62,ARIZONA
2752,2754,2,62,CALIFORNIA
2753,387,13,62,ARIZONA
2754,11002,1,0,TEXAS
2755,2914,47,62,CALIFORNIA
2756,387,17,62,ARIZONA
2757,387,2,62,ARIZONA
2758,1307,2,60,TEXAS
2759,387,14,62,ARIZONA
2760,1691,1,62,ARIZONA
2761,2142,70,62,ARIZONA
2762,2806,1,66,CALIFORNIA
2763,1895,1,62,CALIFORNIA
2764,2872,6,62,TEXAS
2765,1891,2,62,TEXAS
2766,1691,12,62,ARIZONA
2767,2438,5,62,TEXAS
2768,2645,10,61,ARIZONA
2769,2754,7,70,CALIFORNIA
2770,220,2,81,TEXAS
2771,2761,1,70,MICHIGAN
2772,2214,1,70,ARIZONA
2773,2871,3,70,ARIZONA
2774,2749,4,20,TEXAS
2775,646,3,20,MICHIGAN
2776,2142,2,24,ARIZONA
2777,452,1,70,TEXAS
2778,1819,3,70,TEXAS
2779,1691,56,70,ARIZONA
2780,646,3,20,MICHIGAN
2781,1890,1,73,TEXAS
2782,646,3,20,MICHIGAN
2783,387,16,70,ARIZONA
2784,2786,14,62,MICHIGAN
2785,387,9,30,ARIZONA
2786,2059,6,62,CALIFORNIA
2787,2645,10,61,ARIZONA
2788,1375,6,70,ARIZONA
2789,1972,5,70,TEXAS
2790,2620,2,70,ARIZONA
2791,15454,1,0,NEW JERSEY
2792,2872,6,75,TEXAS
2793,4106,1,0,ARIZONA
2794,1691,1,30,ARIZONA
2795,2144,48,62,CALIFORNIA
2796,2059,33,62,CALIFORNIA
2797,2666,1,62,CALIFORNIA
2798,437,6,60,CALIFORNIA
2799,10200,1,0,TEXAS
2800,1819,1,60,TEXAS
2801,387,17,62,ARIZONA
2802,10542,1,0,TEXAS
2803,2059,33,62,CALIFORNIA
2804,2438,5,62,TEXAS
2805,64,9,62,CALIFORNIA
2806,2786,6,70,MICHIGAN
2807,10625,1,0,TEXAS
2808,4959,4,65,CALIFORNIA
2809,2645,10,61,ARIZONA
2810,1871,1,61,ARIZONA
2811,2144,33,66,CALIFORNIA
2812,985,1,61,ARIZONA
2813,2749,1,66,TEXAS
2814,2073,4,61,TEXAS
2815,1974,1,61,CALIFORNIA
2816,985,17,66,ARIZONA
2817,2013,1,66,ARIZONA
2818,2789,1,61,ARIZONA
2819,387,19,64,ARIZONA
2820,15098,1,0,TEXAS
2821,387,7,30,ARIZONA
2822,4099,1,0,ARIZONA
2823,7379,1,0,TEXAS
2824,16473,1,0,FLORIDA
2825,10462,1,0,FLORIDA
2826,462,1,0,OHIO
2827,1073,1,0,ARIZONA
2828,16281,1,0,ARIZONA
2829,552,1,0,CALIFORNIA
2830,6992,1,0,TEXAS
2831,15621,1,0,ARIZONA
2832,161,1,0,CALIFORNIA
2833,5842,2,0,TEXAS
2834,10515,1,0,GEORGIA
2835,2472,1,0,  
2836,5522,1,0,TEXAS
2837,4514,1,0,ARIZONA
2838,4960,1,0,TEXAS
2839,16139,1,0,ARIZONA
2840,2872,6,62,TEXAS
2841,2014,14,70,TEXAS
2842,2073,22,70,TEXAS
2843,2620,2,70,ARIZONA
2844,3225,1,0,ARIZONA
2845,2059,5,70,CALIFORNIA
2846,2486,7,66,TEXAS
2847,16279,1,0,MICHIGAN
2848,1496,7,70,TEXAS
2849,420,1,0,ARIZONA
2850,1788,1,0,NEW JERSEY
2851,10609,1,0,ARIZONA
